id,zip,primary_city,state,county,timezone,latitude,longitude,country,estimated_population
29646,67572,Ransom,KS,Ness County,America/Chicago,38.63,-99.93,US,0
29647,67573,Raymond,KS,Rice County,America/Chicago,38.27,-98.41,US,0
29648,67574,Rozel,KS,Pawnee County,America/Chicago,38.19,-99.4,US,0
29649,67575,Rush Center,KS,Rush County,America/Chicago,38.46,-99.31,US,0
29650,67576,Saint John,KS,Stafford County,America/Chicago,38,-98.76,US,1606
29651,67578,Stafford,KS,Stafford County,America/Chicago,37.96,-98.59,US,1175
29652,67579,Sterling,KS,Rice County,,38.2,-98.2,US,2239
29653,67581,Sylvia,KS,Reno County,America/Chicago,37.95,-98.4,US,0
29654,67583,Turon,KS,Reno County,,37.8,-98.42,US,818
29655,67584,Utica,KS,Ness County,America/Chicago,38.64,-100.17,US,0
29656,67585,Yoder,KS,Reno County,America/Chicago,37.95,-97.85,US,0
29657,67601,Hays,KS,Ellis County,America/Chicago,38.87,-99.31,US,18500
29658,67621,Agra,KS,Phillips County,America/Chicago,39.76,-99.11,US,0
29659,67622,Almena,KS,Norton County,America/Chicago,39.89,-99.7,US,476
29660,67623,Alton,KS,Osborne County,America/Chicago,39.46,-98.94,US,0
29661,67625,Bogue,KS,Graham County,America/Chicago,39.35,-99.68,US,0
29662,67626,Bunker Hill,KS,Russell County,America/Chicago,38.87,-98.7,US,0
29663,67627,Catharine,KS,Ellis County,America/Chicago,38.93,-99.21,US,0
29664,67628,Cedar,KS,Smith County,America/Chicago,39.65,-98.94,US,0
29665,67629,Clayton,KS,Norton County,America/Chicago,39.73,-100.17,US,0
29666,67631,Collyer,KS,Trego County,America/Chicago,39.03,-100.11,US,0
29667,67632,Damar,KS,Rooks County,America/Chicago,39.31,-99.58,US,0
29668,67634,Dorrance,KS,Russell County,America/Chicago,38.84,-98.59,US,0
29669,67635,Dresden,KS,Decatur County,America/Chicago,39.62,-100.42,US,0
29670,67637,Ellis,KS,Ellis County,America/Chicago,38.93,-99.55,US,2237
29671,67638,Gaylord,KS,Smith County,America/Chicago,39.64,-98.84,US,0
29672,67639,Glade,KS,Phillips County,America/Chicago,39.68,-99.31,US,0
29673,67640,Gorham,KS,Russell County,America/Chicago,38.88,-99.02,US,0
29674,67642,Hill City,KS,Graham County,America/Chicago,39.36,-99.84,US,1565
29675,67643,Jennings,KS,Decatur County,America/Chicago,39.68,-100.29,US,0
29676,67644,Kirwin,KS,Phillips County,America/Chicago,39.66,-99.12,US,0
29677,67645,Lenora,KS,Norton County,America/Chicago,39.61,-100,US,0
29678,67646,Logan,KS,Phillips County,America/Chicago,39.66,-99.56,US,625
29679,67647,Long Island,KS,Phillips County,America/Chicago,39.94,-99.53,US,0
29680,67648,Lucas,KS,Russell County,America/Chicago,39.05,-98.53,US,0
29681,67649,Luray,KS,Russell County,America/Chicago,39.11,-98.69,US,0
29682,67650,Morland,KS,Graham County,America/Chicago,39.34,-100.07,US,0
29683,67651,Natoma,KS,Osborne County,America/Chicago,39.18,-99.02,US,452
29684,67653,Norcatur,KS,Decatur County,America/Chicago,39.83,-100.18,US,0
29685,67654,Norton,KS,Norton County,America/Chicago,39.83,-99.89,US,3218
29686,67656,Ogallah,KS,Trego County,America/Chicago,38.98,-99.73,US,0
29687,67657,Palco,KS,Rooks County,America/Chicago,39.25,-99.56,US,0
29688,67658,Paradise,KS,Russell County,America/Chicago,39.11,-98.91,US,0
29689,67659,Penokee,KS,Graham County,America/Chicago,39.35,-99.97,US,0
29690,67660,Pfeifer,KS,Ellis County,America/Chicago,38.73,-99.12,US,0
29691,67661,Phillipsburg,KS,Phillips County,America/Chicago,39.75,-99.32,US,3069
29692,67663,Plainville,KS,Rooks County,,39.23,-99.3,US,2245
29693,67664,Prairie View,KS,Phillips County,America/Chicago,39.83,-99.57,US,0
29694,67665,Russell,KS,Russell County,America/Chicago,38.88,-98.85,US,4301
29695,67667,Schoenchen,KS,Ellis County,America/Chicago,38.71,-99.33,US,0
29696,67669,Stockton,KS,Rooks County,America/Chicago,39.43,-99.27,US,1502
29697,67671,Victoria,KS,Ellis County,America/Chicago,38.85,-99.14,US,1406
29698,67672,Wakeeney,KS,Trego County,America/Chicago,39.02,-99.87,US,2142
29699,67673,Waldo,KS,Russell County,America/Chicago,39.12,-98.79,US,0
29700,67674,Walker,KS,Ellis County,America/Chicago,38.86,-99.06,US,0
29701,67675,Woodston,KS,Rooks County,America/Chicago,39.45,-99.09,US,0
29702,67701,Colby,KS,Thomas County,America/Chicago,39.38,-101.04,US,5266
29703,67730,Atwood,KS,Rawlins County,America/Chicago,39.81,-101.04,US,1367
29704,67731,Bird City,KS,Cheyenne County,America/Chicago,39.74,-101.53,US,546
29705,67732,Brewster,KS,Thomas County,America/Chicago,39.36,-101.37,US,465
29706,67733,Edson,KS,Sherman County,America/Denver,39.33,-101.54,US,0
29707,67734,Gem,KS,Thomas County,America/Chicago,39.42,-100.89,US,0
29708,67735,Goodland,KS,Sherman County,America/Denver,39.34,-101.7,US,4491
29709,67736,Gove,KS,Gove County,America/Chicago,38.95,-100.49,US,0
29710,67737,Grainfield,KS,Gove County,America/Chicago,39.11,-100.46,US,0
29711,67738,Grinnell,KS,Gove County,America/Chicago,39.12,-100.63,US,505
29712,67739,Herndon,KS,Rawlins County,America/Chicago,39.9,-100.78,US,0
29713,67740,Hoxie,KS,Sheridan County,America/Chicago,39.35,-100.43,US,1606
29714,67741,Kanorado,KS,Sherman County,America/Denver,39.33,-102.03,US,0
29715,67743,Levant,KS,Thomas County,America/Chicago,39.38,-101.19,US,0
29716,67744,Ludell,KS,Rawlins County,America/Chicago,39.85,-100.96,US,0
29717,67745,Mc Donald,KS,Rawlins County,America/Chicago,39.78,-101.37,US,0
29718,67747,Monument,KS,Logan County,America/Chicago,39.1,-101,US,0
29719,67748,Oakley,KS,Logan County,America/Chicago,39.12,-100.85,US,2180
29720,67749,Oberlin,KS,Decatur County,America/Chicago,39.82,-100.53,US,1946
29721,67751,Park,KS,Gove County,America/Chicago,39.11,-100.36,US,0
29722,67752,Quinter,KS,Gove County,America/Chicago,39.06,-100.23,US,1245
29723,67753,Rexford,KS,Thomas County,America/Chicago,39.47,-100.74,US,0
29724,67756,Saint Francis,KS,Cheyenne County,America/Chicago,39.77,-101.8,US,1780
29725,67757,Selden,KS,Sheridan County,,39.54,-100.56,US,0
29726,67758,Sharon Springs,KS,Wallace County,America/Denver,38.89,-101.75,US,880
29727,67761,Wallace,KS,Wallace County,America/Denver,38.91,-101.59,US,0
29728,67762,Weskan,KS,Wallace County,America/Denver,38.86,-101.96,US,0
29729,67764,Winona,KS,Logan County,America/Chicago,39.06,-101.24,US,0
29730,67801,Dodge City,KS,Ford County,America/Chicago,37.75,-100.01,US,23849
29731,67831,Ashland,KS,Clark County,America/Chicago,37.18,-99.76,US,917
29732,67834,Bucklin,KS,Ford County,America/Chicago,37.54,-99.63,US,792
29733,67835,Cimarron,KS,Gray County,,37.8,-100.34,US,2471
29734,67836,Coolidge,KS,Hamilton County,America/Denver,38.04,-102,US,0
29735,67837,Copeland,KS,Gray County,America/Chicago,37.54,-100.62,US,703
29736,67838,Deerfield,KS,Kearny County,,37.98,-101.13,US,862
29737,67839,Dighton,KS,Lane County,America/Chicago,38.48,-100.46,US,1317
29738,67840,Englewood,KS,Clark County,America/Chicago,37.03,-99.98,US,0
29739,67841,Ensign,KS,Gray County,America/Chicago,37.65,-100.23,US,0
29740,67842,Ford,KS,Ford County,America/Chicago,37.63,-99.75,US,0
29741,67843,Fort Dodge,KS,Ford County,America/Chicago,37.73,-99.93,US,0
29742,67844,Fowler,KS,Meade County,America/Chicago,37.38,-100.19,US,774
29743,67846,Garden City,KS,Finney County,America/Chicago,37.97,-100.86,US,28121
29744,67849,Hanston,KS,Hodgeman County,America/Chicago,38.12,-99.71,US,0
29745,67850,Healy,KS,Lane County,America/Chicago,38.6,-100.62,US,0
29746,67851,Holcomb,KS,Finney County,America/Chicago,37.99,-100.98,US,2241
29747,67853,Ingalls,KS,Gray County,America/Chicago,37.82,-100.45,US,724
29748,67854,Jetmore,KS,Hodgeman County,America/Chicago,38.08,-99.89,US,1175
29749,67855,Johnson,KS,Stanton County,America/Chicago,37.57,-101.75,US,1734
29750,67857,Kendall,KS,Hamilton County,America/Denver,37.94,-101.54,US,0
29751,67859,Kismet,KS,Seward County,America/Chicago,37.2,-100.7,US,519
29752,67860,Lakin,KS,Kearny County,America/Chicago,37.94,-101.25,US,2494
29753,67861,Leoti,KS,Wichita County,America/Chicago,38.48,-101.35,US,1696
29754,67862,Manter,KS,Stanton County,America/Chicago,37.52,-101.88,US,0
29755,67863,Marienthal,KS,Scott County,,38.49,-101.21,US,0
29756,67864,Meade,KS,Meade County,America/Chicago,37.28,-100.33,US,1859
29757,67865,Minneola,KS,Clark County,,37.44,-100.01,US,883
29758,67867,Montezuma,KS,Gray County,America/Chicago,37.59,-100.44,US,1322
29759,67868,Pierceville,KS,Finney County,America/Chicago,37.88,-100.67,US,0
29760,67869,Plains,KS,Meade County,America/Chicago,37.26,-100.57,US,1184
29761,67870,Satanta,KS,Haskell County,America/Chicago,37.43,-100.98,US,1412
29762,67871,Scott City,KS,Scott County,America/Chicago,38.47,-100.9,US,4292
29763,67876,Spearville,KS,Ford County,America/Chicago,37.84,-99.75,US,1082
29764,67877,Sublette,KS,Haskell County,America/Chicago,37.47,-100.84,US,1846
29765,67878,Syracuse,KS,Hamilton County,America/Denver,37.98,-101.75,US,1942
29766,67879,Tribune,KS,Greeley County,America/Denver,38.47,-101.75,US,1105
29767,67880,Ulysses,KS,Grant County,America/Chicago,37.57,-101.35,US,6342
29768,67882,Wright,KS,Ford County,America/Chicago,37.78,-99.89,US,0
29769,67901,Liberal,KS,Seward County,America/Chicago,37.04,-100.93,US,16375
29770,67905,Liberal,KS,Seward County,America/Chicago,37.04,-100.93,US,1783
29771,67950,Elkhart,KS,Morton County,America/Chicago,37,-101.89,US,2105
29772,67951,Hugoton,KS,Stevens County,America/Chicago,37.17,-101.34,US,4016
29773,67952,Moscow,KS,Stevens County,America/Chicago,37.32,-101.2,US,609
29774,67953,Richfield,KS,Morton County,America/Chicago,37.26,-101.78,US,0
29775,67954,Rolla,KS,Morton County,America/Chicago,37.11,-101.63,US,638
